id,dataset,model,depth,hidden,eps,seed,test_acc
CS_L2_H16_epsna_s0,CS,hfgcn,2,16,na,0,0.2050
CS_L2_H16_epsna_s1,CS,hfgcn,2,16,na,1,0.1941
CS_L2_H16_epsna_s2,CS,hfgcn,2,16,na,2,0.1783
CS_L2_H32_epsna_s0,CS,hfgcn,2,32,na,0,0.2388
CS_L2_H32_epsna_s1,CS,hfgcn,2,32,na,1,0.2159
CS_L2_H32_epsna_s2,CS,hfgcn,2,32,na,2,0.2296
CS_L2_H64_epsna_s0,CS,hfgcn,2,64,na,0,0.2383
CS_L2_H64_epsna_s1,CS,hfgcn,2,64,na,1,0.2421
CS_L2_H64_epsna_s2,CS,hfgcn,2,64,na,2,0.2437
CS_L3_H16_epsna_s0,CS,hfgcn,3,16,na,0,0.1887
CS_L3_H16_epsna_s1,CS,hfgcn,3,16,na,1,0.1974
CS_L3_H16_epsna_s2,CS,hfgcn,3,16,na,2,0.1532
CS_L3_H32_epsna_s0,CS,hfgcn,3,32,na,0,0.1838
CS_L3_H32_epsna_s1,CS,hfgcn,3,32,na,1,0.1897
CS_L3_H32_epsna_s2,CS,hfgcn,3,32,na,2,0.1897
CS_L3_H64_epsna_s0,CS,hfgcn,3,64,na,0,0.2116
CS_L3_H64_epsna_s1,CS,hfgcn,3,64,na,1,0.2296
CS_L3_H64_epsna_s2,CS,hfgcn,3,64,na,2,0.2028
CS_L4_H16_epsna_s0,CS,hfgcn,4,16,na,0,0.1576
CS_L4_H16_epsna_s1,CS,hfgcn,4,16,na,1,0.1510
CS_L4_H16_epsna_s2,CS,hfgcn,4,16,na,2,0.1685
CS_L4_H32_epsna_s0,CS,hfgcn,4,32,na,0,0.2137
CS_L4_H32_epsna_s1,CS,hfgcn,4,32,na,1,0.1663
CS_L4_H32_epsna_s2,CS,hfgcn,4,32,na,2,0.2257
CS_L4_H64_epsna_s0,CS,hfgcn,4,64,na,0,0.2448
CS_L4_H64_epsna_s1,CS,hfgcn,4,64,na,1,0.1870
CS_L4_H64_epsna_s2,CS,hfgcn,4,64,na,2,0.2595
Cornell_L2_H16_epsna_s0,Cornell,hfgcn,2,16,na,0,0.5789
Cornell_L2_H16_epsna_s1,Cornell,hfgcn,2,16,na,1,0.6316
Cornell_L2_H16_epsna_s2,Cornell,hfgcn,2,16,na,2,0.6842
Cornell_L2_H32_epsna_s0,Cornell,hfgcn,2,32,na,0,0.7368
Cornell_L2_H32_epsna_s1,Cornell,hfgcn,2,32,na,1,0.7368
Cornell_L2_H32_epsna_s2,Cornell,hfgcn,2,32,na,2,0.7368
Cornell_L2_H64_epsna_s0,Cornell,hfgcn,2,64,na,0,0.6316
Cornell_L2_H64_epsna_s1,Cornell,hfgcn,2,64,na,1,0.7895
Cornell_L2_H64_epsna_s2,Cornell,hfgcn,2,64,na,2,0.6316
Cornell_L3_H16_epsna_s0,Cornell,hfgcn,3,16,na,0,0.6842
Cornell_L3_H16_epsna_s1,Cornell,hfgcn,3,16,na,1,0.7368
Cornell_L3_H16_epsna_s2,Cornell,hfgcn,3,16,na,2,0.6842
Cornell_L3_H32_epsna_s0,Cornell,hfgcn,3,32,na,0,0.7368
Cornell_L3_H32_epsna_s1,Cornell,hfgcn,3,32,na,1,0.6842
Cornell_L3_H32_epsna_s2,Cornell,hfgcn,3,32,na,2,0.6316
Cornell_L3_H64_epsna_s0,Cornell,hfgcn,3,64,na,0,0.6842
Cornell_L3_H64_epsna_s1,Cornell,hfgcn,3,64,na,1,0.6842
Cornell_L3_H64_epsna_s2,Cornell,hfgcn,3,64,na,2,0.6842
Cornell_L4_H16_epsna_s0,Cornell,hfgcn,4,16,na,0,0.7368
Cornell_L4_H16_epsna_s1,Cornell,hfgcn,4,16,na,1,0.7368
Cornell_L4_H16_epsna_s2,Cornell,hfgcn,4,16,na,2,0.5263
Cornell_L4_H32_epsna_s0,Cornell,hfgcn,4,32,na,0,0.7895
Cornell_L4_H32_epsna_s1,Cornell,hfgcn,4,32,na,1,0.7368
Cornell_L4_H32_epsna_s2,Cornell,hfgcn,4,32,na,2,0.6316
Cornell_L4_H64_epsna_s0,Cornell,hfgcn,4,64,na,0,0.6316
Cornell_L4_H64_epsna_s1,Cornell,hfgcn,4,64,na,1,0.6316
Cornell_L4_H64_epsna_s2,Cornell,hfgcn,4,64,na,2,0.7368
Wisconsin_L2_H16_epsna_s0,Wisconsin,hfgcn,2,16,na,0,0.6154
Wisconsin_L2_H16_epsna_s1,Wisconsin,hfgcn,2,16,na,1,0.6154
Wisconsin_L2_H16_epsna_s2,Wisconsin,hfgcn,2,16,na,2,0.5769
Wisconsin_L2_H32_epsna_s0,Wisconsin,hfgcn,2,32,na,0,0.6923
Wisconsin_L2_H32_epsna_s1,Wisconsin,hfgcn,2,32,na,1,0.6154
Wisconsin_L2_H32_epsna_s2,Wisconsin,hfgcn,2,32,na,2,0.6538
Wisconsin_L2_H64_epsna_s0,Wisconsin,hfgcn,2,64,na,0,0.7308
Wisconsin_L2_H64_epsna_s1,Wisconsin,hfgcn,2,64,na,1,0.6154
Wisconsin_L2_H64_epsna_s2,Wisconsin,hfgcn,2,64,na,2,0.5769
Wisconsin_L3_H16_epsna_s0,Wisconsin,hfgcn,3,16,na,0,0.6538
Wisconsin_L3_H16_epsna_s1,Wisconsin,hfgcn,3,16,na,1,0.5769
Wisconsin_L3_H16_epsna_s2,Wisconsin,hfgcn,3,16,na,2,0.6154
Wisconsin_L3_H32_epsna_s0,Wisconsin,hfgcn,3,32,na,0,0.5769
Wisconsin_L3_H32_epsna_s1,Wisconsin,hfgcn,3,32,na,1,0.5385
Wisconsin_L3_H32_epsna_s2,Wisconsin,hfgcn,3,32,na,2,0.5769
Wisconsin_L3_H64_epsna_s0,Wisconsin,hfgcn,3,64,na,0,0.6538
Wisconsin_L3_H64_epsna_s1,Wisconsin,hfgcn,3,64,na,1,0.5385
Wisconsin_L3_H64_epsna_s2,Wisconsin,hfgcn,3,64,na,2,0.6538
Wisconsin_L4_H16_epsna_s0,Wisconsin,hfgcn,4,16,na,0,0.5000
Wisconsin_L4_H16_epsna_s1,Wisconsin,hfgcn,4,16,na,1,0.5385
Wisconsin_L4_H16_epsna_s2,Wisconsin,hfgcn,4,16,na,2,0.5385
Wisconsin_L4_H32_epsna_s0,Wisconsin,hfgcn,4,32,na,0,0.5769
Wisconsin_L4_H32_epsna_s1,Wisconsin,hfgcn,4,32,na,1,0.5769
Wisconsin_L4_H32_epsna_s2,Wisconsin,hfgcn,4,32,na,2,0.5769
Wisconsin_L4_H64_epsna_s0,Wisconsin,hfgcn,4,64,na,0,0.5769
Wisconsin_L4_H64_epsna_s1,Wisconsin,hfgcn,4,64,na,1,0.5769
Wisconsin_L4_H64_epsna_s2,Wisconsin,hfgcn,4,64,na,2,0.6154
Actor_L2_H16_epsna_s0,Actor,hfgcn,2,16,na,0,0.3263
Actor_L2_H16_epsna_s1,Actor,hfgcn,2,16,na,1,0.3013
Actor_L2_H16_epsna_s2,Actor,hfgcn,2,16,na,2,0.3303
Actor_L2_H32_epsna_s0,Actor,hfgcn,2,32,na,0,0.3184
Actor_L2_H32_epsna_s1,Actor,hfgcn,2,32,na,1,0.3145
Actor_L2_H32_epsna_s2,Actor,hfgcn,2,32,na,2,0.3184
Actor_L2_H64_epsna_s0,Actor,hfgcn,2,64,na,0,0.3145
Actor_L2_H64_epsna_s1,Actor,hfgcn,2,64,na,1,0.3250
Actor_L2_H64_epsna_s2,Actor,hfgcn,2,64,na,2,0.3145
