id,dataset,model,depth,hidden,eps,seed,test_acc
Minesweeper_L4_H32_epsna_s0,Minesweeper,mlp,4,32,na,0,0.7960
Minesweeper_L4_H32_epsna_s1,Minesweeper,mlp,4,32,na,1,0.7960
Minesweeper_L4_H32_epsna_s2,Minesweeper,mlp,4,32,na,2,0.7960
Minesweeper_L4_H64_epsna_s0,Minesweeper,mlp,4,64,na,0,0.7960
Minesweeper_L4_H64_epsna_s1,Minesweeper,mlp,4,64,na,1,0.7960
Minesweeper_L4_H64_epsna_s2,Minesweeper,mlp,4,64,na,2,0.7960
Tolokers_L2_H16_epsna_s0,Tolokers,mlp,2,16,na,0,0.7876
Tolokers_L2_H16_epsna_s1,Tolokers,mlp,2,16,na,1,0.7876
Tolokers_L2_H16_epsna_s2,Tolokers,mlp,2,16,na,2,0.7876
Tolokers_L2_H32_epsna_s0,Tolokers,mlp,2,32,na,0,0.7876
Tolokers_L2_H32_epsna_s1,Tolokers,mlp,2,32,na,1,0.7842
Tolokers_L2_H32_epsna_s2,Tolokers,mlp,2,32,na,2,0.7876
Tolokers_L2_H64_epsna_s0,Tolokers,mlp,2,64,na,0,0.7876
Tolokers_L2_H64_epsna_s1,Tolokers,mlp,2,64,na,1,0.7876
Tolokers_L2_H64_epsna_s2,Tolokers,mlp,2,64,na,2,0.7876
Tolokers_L3_H16_epsna_s0,Tolokers,mlp,3,16,na,0,0.7876
Tolokers_L3_H16_epsna_s1,Tolokers,mlp,3,16,na,1,0.7876
Tolokers_L3_H16_epsna_s2,Tolokers,mlp,3,16,na,2,0.7876
Tolokers_L3_H32_epsna_s0,Tolokers,mlp,3,32,na,0,0.7876
Tolokers_L3_H32_epsna_s1,Tolokers,mlp,3,32,na,1,0.7876
Tolokers_L3_H32_epsna_s2,Tolokers,mlp,3,32,na,2,0.7876
Tolokers_L3_H64_epsna_s0,Tolokers,mlp,3,64,na,0,0.7876
Tolokers_L3_H64_epsna_s1,Tolokers,mlp,3,64,na,1,0.7876
Tolokers_L3_H64_epsna_s2,Tolokers,mlp,3,64,na,2,0.7876
Tolokers_L4_H16_epsna_s0,Tolokers,mlp,4,16,na,0,0.7876
Tolokers_L4_H16_epsna_s1,Tolokers,mlp,4,16,na,1,0.7876
